recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend
10,1) $0 - $100,88.37,0,1,Urban,0,Phone,Womens E-Mail,1,1,29.99
4,3) $200 - $350,297.8,1,1,Urban,0,Phone,Womens E-Mail,1,1,264.66
10,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,1,1,149.28
6,3) $200 - $350,265.61,0,1,Surburban,1,Multichannel,Womens E-Mail,1,1,42.66
1,2) $100 - $200,101.99,0,1,Surburban,0,Web,Womens E-Mail,1,1,29.99
2,4) $350 - $500,378.5,0,1,Urban,0,Web,Mens E-Mail,1,1,80.58
1,"7) $1,000 +",1515.82,1,1,Surburban,1,Multichannel,Womens E-Mail,1,1,499.0
12,1) $0 - $100,36.67,0,1,Urban,0,Web,Mens E-Mail,1,1,195.83
9,3) $200 - $350,297.59,0,1,Surburban,1,Phone,Mens E-Mail,1,1,118.39
5,"7) $1,000 +",1079.62,1,1,Surburban,1,Web,No E-Mail,1,1,29.99
1,1) $0 - $100,61.08,0,1,Rural,0,Web,Womens E-Mail,1,1,70.85
8,2) $100 - $200,194.81,1,0,Urban,1,Web,Womens E-Mail,1,1,184.71
8,3) $200 - $350,287.06,0,1,Urban,0,Phone,Womens E-Mail,1,1,29.99
9,2) $100 - $200,173.88,0,1,Surburban,0,Phone,Mens E-Mail,1,1,58.13
12,2) $100 - $200,130.84,0,1,Surburban,0,Web,Womens E-Mail,1,1,29.99
1,"6) $750 - $1,000",792.15,1,1,Surburban,1,Phone,Mens E-Mail,1,1,32.17
4,1) $0 - $100,59.03,0,1,Urban,0,Web,Mens E-Mail,1,1,62.9
10,1) $0 - $100,30.53,0,1,Urban,1,Phone,Womens E-Mail,1,1,267.17
6,3) $200 - $350,288.62,0,1,Urban,0,Multichannel,Mens E-Mail,1,1,102.84
2,3) $200 - $350,272.95,1,0,Urban,1,Web,Womens E-Mail,1,1,29.99
1,"6) $750 - $1,000",954.65,1,0,Surburban,1,Multichannel,Womens E-Mail,1,1,168.98
1,4) $350 - $500,358.86,0,1,Surburban,1,Web,No E-Mail,1,1,29.99
4,2) $100 - $200,139.14,0,1,Surburban,1,Web,Womens E-Mail,1,1,73.51
4,3) $200 - $350,302.72,1,1,Urban,0,Web,Mens E-Mail,1,1,29.99
9,2) $100 - $200,111.69,0,1,Urban,1,Phone,Womens E-Mail,1,1,36.16
1,5) $500 - $750,716.38,1,1,Rural,1,Multichannel,Mens E-Mail,1,1,172.74
9,1) $0 - $100,40.35,0,1,Rural,1,Web,Womens E-Mail,1,1,29.99
2,1) $0 - $100,89.26,0,1,Surburban,0,Web,No E-Mail,1,1,29.99
